pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-2953-6e410c79-2094-4548-a009-faf82961733d,facing-2953-6e410c79-2094-4548-a009-faf82961733d,copying-2953-6e410c79-2094-4548-a009-faf82961733d,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
2953-6e410c79-2094-4548-a009-faf82961733d,87,visible,245.625,147.056,2.125,143,0.9,0.04,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,88,visible,246.90400000000002,148.753,2.125,143,0.94,0.04,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,89,visible,248.183,150.45,2.125,143,0.93,0.04,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,90,visible,249.46200000000002,152.14700000000002,2.125,143,0.95,0.04,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,91,visible,250.74099999999999,153.844,2.125,143,0.94,0.04,False,False,False,True,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,92,visible,252.61700000000002,154.842,2.125,118,0.91,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,93,visible,254.726,154.583,2.125,83,0.9,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,94,visible,256.305,153.161,2.125,48,0.91,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,95,visible,256.783,151.09,2.125,13,0.87,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,96,visible,255.81799999999998,149.197,2.125,333,0.89,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,97,visible,253.942,148.19899999999998,2.125,298,0.9,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,98,visible,251.91,148.82,2.125,253,0.89,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,99,visible,249.878,149.441,2.125,253,0.89,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,100,visible,247.774,149.145,2.125,278,0.81,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,101,visible,246.22,147.696,2.125,313,0.75,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,102,visible,245.96099999999998,145.58700000000002,2.125,353,0.75,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,103,visible,246.959,143.711,2.125,28,0.72,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,104,visible,248.65599999999998,142.43200000000002,2.125,53,0.71,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,105,visible,250.735,141.99,2.125,78,0.64,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,106,visible,252.83900000000003,142.286,2.125,98,0.69,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,107,visible,254.62099999999998,143.44299999999998,2.125,123,0.69,0.05,False,False,False,True,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,108,visible,256.403,144.6,2.125,123,0.7,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,109,visible,258.185,145.757,2.125,123,0.69,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,110,visible,259.967,146.914,2.125,123,0.6599999999999999,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,111,visible,261.749,148.071,2.125,123,0.72,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,112,visible,263.531,149.22799999999998,2.125,123,0.76,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
