pid,tick,latency
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,112,22.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,112,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,112,50
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,113,22.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,113,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,113,46
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,114,22
6598-d0c90d01-a279-4cce-8851-10c07513efe2,114,33.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,114,78.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,115,25
6598-d0c90d01-a279-4cce-8851-10c07513efe2,115,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,115,51.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,116,23.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,116,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,116,47
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,117,24.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,117,27
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,117,49
6598-d0c90d01-a279-4cce-8851-10c07513efe2,118,27
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,118,47
6598-d0c90d01-a279-4cce-8851-10c07513efe2,119,26
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,118,109
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,119,44
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,119,45.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,120,26
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,120,32.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,120,50
6598-d0c90d01-a279-4cce-8851-10c07513efe2,121,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,121,47
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,121,67.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,122,23
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,122,72.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,123,25
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,123,47.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,122,123.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,123,59.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,124,23
6598-d0c90d01-a279-4cce-8851-10c07513efe2,124,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,124,45.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,125,22
6598-d0c90d01-a279-4cce-8851-10c07513efe2,125,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,125,50
6598-d0c90d01-a279-4cce-8851-10c07513efe2,126,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,126,65.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,126,67.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,127,23
6598-d0c90d01-a279-4cce-8851-10c07513efe2,127,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,127,64
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,128,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,128,65
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,129,22
6598-d0c90d01-a279-4cce-8851-10c07513efe2,128,123.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,129,60.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,129,74
